Product name,Original Price,Discount,Price After Discount,Ratings
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)  (12 GB RAM)","₹27,999",10% off,"₹24,999",4.5
"Motorola Edge 50 Neo (PANTONE Grisaille, 256 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
"Motorola G85 5G (Cobalt Blue, 256 GB)  (12 GB RAM)",N/A,13% off,N/A,4.4
"Motorola g04s (Sunrise Orange, 64 GB)  (4 GB RAM)",N/A,27% off,N/A,4.2
"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
"Motorola Edge 50 Neo (PANTONE Poinciana, 256 GB)  (8 GB RAM)","₹29,999",13% off,"₹25,999",4.4
"Motorola Edge 50 Neo (PANTONE Latte, 256 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording  (Teal Blue),"₹1,549",18% off,"₹1,264",4.2
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)  (8 GB RAM)","₹32,999",15% off,"₹27,999",4.3
MOTOROLA A50V Dual Sim Keypad Phone|1750 mAh Battery|1.8inch Display|Expandable Upto 32GB  (Dark Blue),"₹1,699",12% off,"₹1,480",4.1
"Motorola g64 5G (Ice Lilac, 128 GB)  (8 GB RAM)","₹17,999",16% off,"₹14,999",4.2
"Motorola G34 5G (Ocean Green, 128 GB)  (4 GB RAM)","₹13,999",21% off,"₹10,999",4.2
MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording  (Black),"₹1,549",17% off,"₹1,273",4.2
MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording  (Teal Blue),"₹1,549",17% off,"₹1,280",4.2
"Motorola G85 5G (Urban Grey, 128 GB)  (8 GB RAM)",N/A,14% off,N/A,4.5
"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)","₹14,999",20% off,"₹11,999",4.2
"Motorola g04s (Sea Green, 64 GB)  (4 GB RAM)","₹9,999",27% off,"₹7,299",4.2
"Motorola e22s (Eco Black, 64 GB)  (4 GB RAM)",N/A,18% off,N/A,4
"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)","₹14,999",20% off,"₹11,999",4.2
"Motorola g04s (Sea Green, 64 GB)  (4 GB RAM)",N/A,27% off,N/A,4.2
