Product Name,Original Price,Discount,Price After Discount,Ratings
"Labrada MUSCLE Weight Gainers/Mass Gainers  (1 kg, CHOCOLATE)","₹1,549",38% off,₹949,4.1
"DOCTOR'S CHOICE Bulk King Advanced Weight Gainers/Mass Gainers  (1 kg, Choco Brownie Fudge With Shaker)","₹1,799",51% off,₹871,4.1
"GNC Pro Performance Whey Protein  (2 pounds, Chocolate Supreme)","₹3,499",42% off,"₹2,014",4.3
"RiteBite Max Protein Daily Assorted 10g Protein Bars with 5g Fiber, 0 Added Sugar, 21 Vit. & Minerals Protein Bars  (300 g, Assorted)",₹440,17% off,₹365,4.5
"OZiva Bioactive Plant Protein (25g Vegan Protein) for Endurance & Muscle Recovery Plant-Based Protein  (500 g, Chocolate)","₹1,549",16% off,"₹1,289",4.1
"AS-IT-IS Nutrition Whey Protein Concentrate 80% Unflavored - 500gm Whey Protein  (500, Unflavored)","₹1,369",31% off,₹937,4.2
"HERBALIFE AFRESH ENERGY DRINK MIX-CINNAMON AND GINGER (PACK OF 2) Energy Bars  (100 g, CINNAMON, GINGER)","₹1,770",46% off,₹952,4.1
"GNC Pro Performance Creatine Monohydrate (200gms) Creatine  (200 g, Unflavoured)","₹1,399",57% off,₹601,4.2
"BIGMUSCLES NUTRITION Real Weight Gainers/Mass Gainers  (1.5 kg, Chocolate)","₹1,599",60% off,₹639,4
"MUSCLEBLAZE Pre Workout 200 Xtreme, 200mg Caffeine, 2000mg Beta Alanine, 3000mg Citrulline Pre Workout  (130 g, Berry Bolt)",₹959,38% off,₹594,4.4
"HERBALIFE Herbal Nutrition Shakemate Plant-Based Protein  (500 g, Milk)",₹799,7% off,₹739,4.1
"AS-IT-IS Nutrition ATOM Whey Protein  (2 kg, Double Rich Chocolate)","₹5,765",37% off,"₹3,616",4.2
"Endura Classic Kulfi 550 Weight Gainers/Mass Gainers  (550 g, Classic Kulfi)",₹779,32% off,₹529,4
"GNC Pro Performance Creatine Monohydrate (Cranberry, 100gms) Creatine  (100 g, Cranberry)",₹899,56% off,₹395,4.3
"Wellcore Micronised Creatine Monohydrate | Lab Tested | Enhanced Absorption | 100% Pure Creatine  (100 g, Unflavored)",₹749,29% off,₹529,4.3
"MUSCLEBLAZE Creatine Monohydrate CreAMP™ with CreAbsorb™, Trustified Certified Creatine  (100 g, Citrus Blast)",₹749,33% off,₹499,4.3
