Product name,Original Price,Discount,Price After Discount,Ratings
"POCO F6 5G (Titanium, 256 GB)  (12 GB RAM)","₹35,999",22% off,"₹27,999",4.3
"POCO X6 5G (Snowstorm White, 256 GB)  (12 GB RAM)","₹26,999",27% off,"₹19,499",4.3
"POCO M6 5G (Galactic Black, 128 GB)  (4 GB RAM)","₹12,999",28% off,"₹9,249",4.2
"POCO X6 Pro 5G (Spectre Black, 256 GB)  (8 GB RAM)","₹30,999",25% off,"₹22,999",4.3
"POCO C65 (Pastel Blue, 128 GB)  (6 GB RAM)","₹11,999",20% off,"₹9,499",4.2
"POCO F6 5G (Titanium, 256 GB)  (8 GB RAM)","₹33,999",23% off,"₹25,999",4.3
"POCO M6 5G (Orion Blue, 256 GB)  (8 GB RAM)","₹15,999",15% off,"₹13,499",4.2
"POCO X6 5G (Skyline Blue, 256 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.3
"POCO X6 Pro 5G (Spectre Black, 512 GB)  (12 GB RAM)","₹32,999",21% off,"₹25,999",4.3
"POCO F6 5G (Black, 256 GB)  (12 GB RAM)","₹35,999",22% off,"₹27,999",4.3
"POCO X6 Pro 5G (Racing Grey, 512 GB)  (12 GB RAM)","₹32,999",21% off,"₹25,999",4.3
"POCO X6 5G (Skyline Blue, 256 GB)  (12 GB RAM)",N/A,27% off,N/A,4.3
"POCO M6 5G (Orion Blue, 128 GB)  (4 GB RAM)","₹12,999",28% off,"₹9,249",4.2
"POCO M4 Pro (Cool Blue, 128 GB)  (6 GB RAM)","₹19,999",42% off,"₹11,499",4.3
"POCO C51 (Power Black, 64 GB)  (4 GB RAM)",N/A,15% off,N/A,4
"POCO M6 5G (Polaris Green, 256 GB)  (8 GB RAM)","₹15,999",15% off,"₹13,499",4.2
"POCO F6 5G (Titanium, 512 GB)  (12 GB RAM)","₹37,999",18% off,"₹30,999",4.3
"POCO F4 5G (Night Black, 128 GB)  (8 GB RAM)","₹34,999",50% off,"₹17,490",4.3
"POCO M6 Plus 5G (Ice Silver, 128 GB)  (8 GB RAM)",N/A,30% off,N/A,4.2
"POCO C55 (Power Black, 128 GB)  (6 GB RAM)","₹13,999",21% off,"₹10,999",4.2
"POCO C61 (Diamond Dust Black, 128 GB)  (6 GB RAM)",N/A,15% off,N/A,4.2
"POCO M6 Pro 5G (Forest Green, 256 GB)  (8 GB RAM)","₹17,999",16% off,"₹14,999",4.2
"POCO X3 Pro (Steel Blue, 128 GB)  (6 GB RAM)",N/A,50% off,N/A,4.3
"POCO X6 5G (Mirror Black, 256 GB)  (12 GB RAM)",N/A,27% off,N/A,4.3
"POCO X6 Neo 5G (Astral Black, 256 GB)  (12 GB RAM)",N/A,29% off,N/A,4.1
"POCO M6 Pro 5G (Power Black, 128 GB)  (4 GB RAM)",N/A,25% off,N/A,4.3
"POCO M4 5G (Power Black, 128 GB)  (6 GB RAM)","₹18,999",36% off,"₹12,149",4.2
"POCO C65 (Matte Black, 256 GB)  (8 GB RAM)",N/A,18% off,N/A,4.2
"POCO M6 Plus 5G (Misty Lavender, 128 GB)  (8 GB RAM)",N/A,30% off,N/A,4.2
"POCO F4 5G (Night Black, 256 GB)  (12 GB RAM)","₹39,999",44% off,"₹22,189",4.3
"POCO X3 (Cobalt Blue, 64 GB)  (6 GB RAM)","₹19,999",40% off,"₹11,990",4.3
"POCO C65 (Pastel Blue, 256 GB)  (8 GB RAM)","₹13,499",18% off,"₹10,999",4.2
"POCO M4 5G (Cool Blue, 128 GB)  (6 GB RAM)",N/A,21% off,N/A,4.2
"POCO C3 (Arctic Blue, 64 GB)  (4 GB RAM)","₹10,999",27% off,"₹7,990",4.3
"POCO M4 5G (Yellow, 128 GB)  (6 GB RAM)","₹18,999",21% off,"₹14,999",4.2
"POCO F6 5G (Deadpool, 256 GB)  (12 GB RAM)","₹37,999",21% off,"₹29,999",4.3
"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)",N/A,21% off,N/A,4.2
"POCO M3 Pro 5G (Yellow, 128 GB)  (6 GB RAM)","₹17,999",27% off,"₹12,990",4.2
"POCO C31 (Shadow Gray, 64 GB)  (4 GB RAM)",N/A,45% off,N/A,4.3
"POCO X6 Neo 5G (Martian Orange, 256 GB)  (12 GB RAM)","₹21,999",29% off,"₹15,499",4.1
"POCO M5 (Yellow, 128 GB)  (6 GB RAM)","₹18,999",23% off,"₹14,499",4.2
"POCO F6 5G (Black, 512 GB)  (12 GB RAM)",N/A,18% off,N/A,4.3
"POCO X4 Pro 5G (Laser Blue, 128 GB)  (8 GB RAM)","₹25,999",34% off,"₹16,990",4.2
"POCO C65 (Pastel Green, 128 GB)  (6 GB RAM)","₹11,999",20% off,"₹9,499",4.2
"POCO C3 (Lime Green, 32 GB)  (3 GB RAM)",N/A,38% off,N/A,4.3
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.2
"POCO M6 5G (Galactic Black, 256 GB)  (8 GB RAM)","₹15,999",15% off,"₹13,499",4.2
"POCO C31 (Royal Blue, 64 GB)  (4 GB RAM)",N/A,40% off,N/A,4.3
"POCO M4 5G (Power Black, 64 GB)  (4 GB RAM)",N/A,18% off,N/A,4.2
"POCO X4 Pro 5G (Yellow, 128 GB)  (8 GB RAM)",N/A,34% off,N/A,4.2
"POCO C3 (Matte Black, 32 GB)  (3 GB RAM)","₹9,865",32% off,"₹6,690",4.3
"POCO M6 Pro 5G (Forest Green, 256 GB)  (8 GB RAM)","₹17,999",16% off,"₹14,999",4.2
"POCO F5 5G (Snowstorm White, 256 GB)  (12 GB RAM)","₹39,999",15% off,"₹33,999",4.3
"POCO M4 Pro (Cool Blue, 128 GB)  (8 GB RAM)","₹19,999",28% off,"₹14,250",4.2
