,Product Name,Original Price,Discount,Price after discount,Description,Ratings
548,"Infinix Zero 40 5G (Violet Garden, 256 GB)","₹37,999",26% off,"₹27,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 50MP + 2MP | 50MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 8200 Ultimate Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
549,"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹15,999",18% off,"₹12,999",4 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryMediaTek ProcessorDomestic Warranty Of 1 Year For Handset And 6 Month For Accessories.,4.1
550,"realme Narzo N61 (Marble Black, 64 GB)","₹8,643",10% off,"₹7,715",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,4.4
551,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹17,999",11% off,"₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2
552,"realme Narzo N61 (Voyage Blue, 64 GB)","₹8,599",13% off,"₹7,452",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,4.4
553,"OnePlus Nord CE4 (Dark Chrome, 128 GB)","₹24,999",4% off,"₹23,934",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5500 mAh BatteryOxygenOS 14.0 ProcessorDomestic Warranty 1 Year For Handset And 6 month For Accessories.,4.5
554,"Infinix Note 11 (Celestial Snow, 128 GB)","₹16,999",14% off,"₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ AMOLED Display50 MP + 2 MP Depth Lens + AI Lens | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G88 Processor1 Year on Handset and 6 Months on Accessories,4.2
555,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹19,999",25% off,"₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,4.4
556,"Nothing Phone (2a) Plus (Black, 256 GB)","₹31,999",12% off,"₹27,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7350 Pro 5G Processor1 Year Manufacturing Warranty,4.4
557,"Infinix Note 11 (Graphite Black, 64 GB)","₹14,999",16% off,"₹12,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ AMOLED Display50 MP + 2 MP + AI Lens | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G88 Processor1 Year on Handset and 6 Months on Accessories,4.3
558,"Infinix Note 11 (Celestial Snow, 64 GB)","₹14,999",45% off,"₹8,124",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ AMOLED Display50 MP + 2 MP + AI Lens | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G88 Processor1 Year on Handset and 6 Months on Accessories,4.3
559,"Google Pixel 7a (Snow, 128 GB)","₹43,999",27% off,"₹31,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP (OIS) + 13MP | 13MP Front Camera4300 mAh BatteryTensor G2 Processor1 Year Domestic Warranty,4.1
560,"realme 13+ 5G (Victory Gold, 256 GB)","₹29,999",10% off,"₹26,999",12 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
561,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹15,999",18% off,"₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1
562,"REDMI Note 12 5G (Matte Black, 128 GB)","₹21,999",35% off,"₹14,188",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ AMOLED Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 4 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
563,"realme Narzo N65 5G (Deep Green, 128 GB)","₹14,999",6% off,"₹13,990",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.3
564,"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)","₹55,999",26% off,"₹40,999",12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
565,"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹54,999",9% off,"₹49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
566,"vivo V40 Pro 5G (Ganges Blue, 256 GB)","₹54,999",9% off,"₹49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
567,"Motorola g31 (Baby Blue, 128 GB)","₹16,999",46% off,"₹9,099",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh LiPo BatteryMediatek Helio G85 Processor1 Year on Handset and 6 Months on Accessories,4.1
568,"Apple iPhone 15 Pro Max (Black Titanium, 512 GB)","₹1,54,900",14% off,"₹1,31,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6
569,"realme Narzo N63 4G (Twilight Purple, 128 GB)","₹10,999",18% off,"₹8,999",4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryDomestic Warranty  1 year for handset and 6 months for accessories.,4.1
