Product Name,Original Price,Discount,Price After Discount,Ratings
Bournvita Chocolate Nutrition Drink  (550 g),₹255,5% off,₹242,4.4
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
"ENSURE Clinically Proven Nutritional Drink For Adults Nutrition Drink  (950 g, Vanilla Flavored)","₹1,685",20% off,"₹1,348",4.5
Saapattu Raman - Digestive Secret - 622 g - Apple cider Drink  (622 g),"₹1,099",13% off,₹955,4
"Herbalife Nutrition 1522 Energy Drink  (0.5 g, Ginger Flavored)",₹848,41% off,₹498,3.7
"vidaslim High Protein Meal Replacement for Weight Management-400g Jar (Vanilla) Nutrition Drink  (400 g, Vanilla Flavored)","₹1,445",17% off,"₹1,199",4.3
"COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour, Jar  (1.5 kg)","₹1,169",44% off,₹648,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Carton  (500 g)",₹319,17% off,₹264,4.4
Pediasure Scientifically Designed Nutritional Drink - Vanilla  (1.9 kg),"₹3,215",20% off,"₹2,572",4.5
HORLICKS Classic Malt  (750 g),₹449,27% off,₹327,4.4
Nutritional Choice Coffee White - creamer Creamy Coffee - 50 sachets  (750 g),"₹2,997",9% off,"₹2,725",3.5
"Floral Nutrition Slim Shake Formula 1 with Natural Herbs for weight control & Management Nutrition Drink  (500 g, Chocolate Flavored)","₹1,499",65% off,₹519,3.9
COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour Carton  (1 kg),₹629,17% off,₹516,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Vanilla  (375 g),₹925,15% off,₹786,4.5
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids Vanilla  (400 g),₹625,20% off,₹500,4.3
"PII ELECTROLYTE ORS Powder 4.2G Box Hydration Drink  (8x10 Sachets, ORANGE Flavored)",₹388,2% off,₹379,4.3
"Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength, Energy  (400 g)",₹675,16% off,₹567,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Jar  (1 kg)",₹619,10% off,₹557,4.4
HORLICKS Nutrition Drink Plastic Container  (2000 g),"₹1,150",35% off,₹747,4.4
"ENSURE Clinically Proven Nutritional Drink For Adults, Vanilla  (200 g)",₹440,15% off,₹374,4.5
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids- Vanilla  (2 x 400 g),"₹1,250",24% off,₹938,4.4
"Floral Nutrition Slim Shake Formula 1 with Natural Herbs for weight control & Management Nutrition Drink  (500 g, Strawberry Flavored)","₹1,499",65% off,₹519,3.9
"Pediasure Scientifically Designed Nutritional Drink, Chocolate  (1900 g)","₹3,215",20% off,"₹2,572",4.5
"Pediasure Scientifically Designed, Clinically Proven Nutrition Drink  (950 g, Vanilla Flavored)","₹1,785",20% off,"₹1,428",4.5
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
"Pediasure Scientifically Designed - Clinically Proven Nutrition Drink  (375 g, Vanilla Flavored)",₹770,15% off,₹654,4.5
"Zoh Greek Yogurt Starter Culture Unflavoured Powder  (2 No, Pack of 2)",₹600,11% off,₹534,4.1
Protinex Original Nutrition Drink Powder with Protein for Immunity  (400 g),₹750,15% off,₹637,4.3
"Gritzo SuperMilk Height+ (8-12y Girls),10g Protein, Double Chocolate  (200 g)",₹399,20% off,₹319,4.3
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
Little Joys Nutrimix for Kids 2-6 years | Chocolate Flavour | Better Immunity & Strength  (350 g),N/A,N/A,₹599,4.5
Cadbury Bournvita Chocolate - Nutrition Drink  (1 kg),₹442,23% off,₹340,4.4
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
"Vansaar Pro-Strength Complete Nutrition Drink with Ashwagandha,Regain Strength &Energy  (400 g)","₹1,750",31% off,"₹1,199",4.3
Protinex Diabetes Care Vanilla Flavour with Vital Nutrients to Manage Blood Sugar Levels  (400 g),₹760,15% off,₹646,4.4
"COMPLAN Nutrition Drink Powder for Children, Pista Badam Flavour, Carton  (500 g)",₹350,15% off,₹296,4.4
"COMPLAN Nutrition Drink Powder for Children, Kesar Badam Flavour, Jar  (500 g)",₹365,13% off,₹317,4.4
"Gritzo SuperMilk Height+ (8-12y Boys),10g Protein, Double Chocolate  (1 kg)","₹1,649",6% off,"₹1,534",4.3
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
"COMPLAN Nutrition Drink Powder for Children, Creamy Classic Flavour, Carton  (500 g)",₹309,15% off,₹262,4.3
Junior Horlicks Vanilla Jar  (500 g),₹330,13% off,₹287,4.4
Horlicks Women's Plus Caramel BIB  (400 g),₹320,18% off,₹262,4.4
"GLUCON-D Regular Glucose Powder , Jar with Free 300 g Tangy Orange Energy Drink  (1 kg, Regular Flavored)",₹265,18% off,₹217,4.4
"Saapattu Raman - Digestive Secret (Pack of 2 x 312g) Apple Cider Drink  (624 g, Pack of 2)","₹1,198",12% off,"₹1,046",4.1
"Little Joys Nutrimix for Kids 7-12 years |Supports Weight, Height Gain | Improves Immunity  (350 g)",₹699,3% off,₹678,4.3
Junior Horlicks Vanilla BIB  (500 g),₹330,22% off,₹257,4.4
Horlicks Mothers Plus Carton  (400 g),₹595,20% off,₹476,4.4
"Ensure Plus Scientifically Formulated To Support Recovery, Vanilla  (1 kg)","₹1,835",20% off,"₹1,468",4.5
HORLICKS Chocolate Delight Flavour Mix  (750 g),₹370,25% off,₹277,4.4
Cadbury Hot Chocolate Drink Powder Mix  (200 g),₹230,18% off,₹188,4.3
"ENSURE Clinically Proven Nutritional Drink For Adults, Chocolate  (200 g)",₹440,15% off,₹374,4.5
HORLICKS Protein Plus Vanilla Container  (400 g),₹675,22% off,₹526,4.3
Signutra Groviva Child's Nutrition Supplement (Jar)  (400 g),₹775,34% off,₹509,4.3
"Gritzo SuperMilk Height+ (13+y Girls), 13g Protein, Double Chocolate  (200 g)",₹465,20% off,₹372,4.3
HORLICKS Nutrition Drink Pouch  (900 g),₹469,10% off,₹422,4.4
"COMPLAN Nutrition Powder Drink for the Children, Creamy Classic Flavour, Carton  (1 kg)",₹599,25% off,₹449,4.3
"Pediasure Scientifically Designed & Clinically Proven Nutrition Drink  (375 g, Chocolate Flavored)",₹770,15% off,₹654,4.4
Women's Horlicks Caramel BIB  (750 g),₹620,35% off,₹403,4.5
"COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour, Carton  (750 g)",₹470,23% off,₹358,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Carton with Shaker  (500 g)",₹325,15% off,₹274,4.4
Boost Nutrition Drink Chocolate Flavour  (500 g),₹299,1% off,₹296,4.4
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
HORLICKS Millet Chocolate  (400 g),₹279,15% off,₹236,4.1
Signutra Groviva Child's Nutrition Supplement (BIB)  (750 g),"₹1,295",40% off,₹769,4.4
Protinex Diabetes Care  (1000 g),"₹1,790",26% off,"₹1,324",4.4
Little Joys Nutrimix Chocolate Nutrition Powder for Kids (7-12 years) | Supports Immunity  (2 x 350 g),"₹1,398",14% off,"₹1,199",4.5
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
Protinex Creamy Vanilla - Nutrition Drink Powder with Protein for Strength & Energy  (1 kg),"₹1,455",26% off,"₹1,076",4.4
Junior Horlicks Chocolate? Jar  (500 g),₹330,9% off,₹300,4.4
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
"Vansaar Pro-Strength Complete Nutrition Drink with Ashwagandha,Regain Strength &Energy  (400 g)","₹1,750",31% off,"₹1,199",4.3
"Nestle Nangrow Nutritious Milk drink, Creamy Vanilla Flavor,  (400 g)",₹610,14% off,₹524,4.6
"Pro-To-Grow Fitbhim Chocolate Drink with Bhim Banana,for kid's growth,200grm each,Pack of 1  (200 g)",₹349,5% off,₹331,4.3
Horlicks Women's Plus Chocolate Jar  (400 g),₹365,20% off,₹292,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Chocolate  (950 g),"₹2,120",20% off,"₹1,696",4.5
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
"COMPLAN Nutrition Drink Powder for Children, Kesar Badam Flavour, Carton with Shaker  (500 g)",₹350,16% off,₹294,4.4
"Gritzo SuperMilk Daily Nutrition (4-7y Kids),6g Protein, Double Chocolate  (400 g)",₹599,7% off,₹557,4.3
Protinex Original -Nutrition Drink Powder with Protein for Immunity  (1 kg),"₹1,599",24% off,"₹1,215",3.4
Cadbury Bournvita Lil Champs Nutrition Drink  (500 g),₹349,10% off,₹314,4.4
